time_Yangmingshan,air_pressure_Yangmingshan,temperature_Yangmingshan,relative_humidity_Yangmingshan,wind_speed_Yangmingshan,wind_direction_Yangmingshan,gust_max_Yangmingshan,gust_max_dir_Yangmingshan,precipitation_Yangmingshan,solar_rad_Yangmingshan
2015-01-01 00:00:00,954.1,10.2,79.0,2.2,100.0,8.5,100.0,0.0,0.0
2015-01-01 01:00:00,954.0,9.8,78.0,2.9,70.0,8.9,100.0,0.0,0.0
2015-01-01 02:00:00,954.1,9.4,78.0,2.1,70.0,8.7,360.0,0.0,0.0
2015-01-01 03:00:00,954.4,9.3,83.0,2.7,230.0,6.9,10.0,0.0,0.0
2015-01-01 04:00:00,954.3,8.9,83.0,2.0,210.0,9.0,190.0,0.0,0.0
2015-01-01 05:00:00,954.7,8.2,82.0,1.9,180.0,6.6,190.0,0.0,0.0
2015-01-01 06:00:00,955.1,8.1,82.0,2.2,230.0,6.9,200.0,0.0,0.0
2015-01-01 07:00:00,956.3,7.6,80.0,2.1,140.0,7.4,190.0,0.0,0.0
2015-01-01 08:00:00,956.9,7.7,80.0,2.1,180.0,10.7,190.0,0.0,0.07
2015-01-01 09:00:00,957.5,8.4,76.0,2.0,200.0,6.9,150.0,0.0,0.68
2015-01-01 10:00:00,957.2,8.9,76.0,3.5,200.0,9.9,210.0,0.0,1.68
2015-01-01 11:00:00,956.4,9.0,73.0,3.1,210.0,9.9,120.0,0.0,2.35
2015-01-01 12:00:00,955.4,8.9,72.0,2.9,230.0,8.4,200.0,0.0,2.21
2015-01-01 13:00:00,955.1,8.6,72.0,2.7,220.0,9.1,200.0,0.0,1.25
2015-01-01 14:00:00,954.1,7.9,74.0,2.6,220.0,11.1,200.0,0.0,0.76
2015-01-01 15:00:00,954.6,7.5,76.0,3.4,220.0,9.4,240.0,0.0,0.59
2015-01-01 16:00:00,954.7,6.7,78.0,2.8,200.0,9.7,210.0,0.0,0.3
2015-01-01 17:00:00,955.6,6.6,78.0,2.4,220.0,7.5,210.0,0.0,0.0
2015-01-01 18:00:00,955.9,5.6,74.0,1.7,200.0,9.3,230.0,0.0,0.0
2015-01-01 19:00:00,956.5,6.2,76.0,2.2,220.0,6.7,220.0,0.0,0.0
2015-01-01 20:00:00,956.8,6.3,78.0,2.0,190.0,7.0,180.0,0.0,0.0
2015-01-01 21:00:00,956.9,6.4,78.0,2.0,170.0,8.0,160.0,0.0,0.0
2015-01-01 22:00:00,956.4,6.3,76.0,1.8,170.0,7.6,120.0,0.0,0.0
2015-01-01 23:00:00,955.8,6.6,81.0,2.5,230.0,7.6,200.0,0.0,0.0
2015-01-02 00:00:00,955.6,6.7,79.0,1.4,170.0,5.9,220.0,0.0,0.0
